,Company,Model,Body Type,Trim Level,Engine Name,Engine Fuel Type,Engine Transmission,Engine Power,Engine Efficiency,Engine Emission,Price
151,Audi,A3,4 door Saloon,Sport,35 TFSI S Tronic,Petrol,Automatic,150 bhp,50.4 mpg,,31115
152,Audi,A3,4 door Saloon,Sport,35 TFSI Comfort+Sound,Petrol,Manual,150 bhp,50.4 mpg,,30760
153,Audi,A3,4 door Saloon,Sport,35 TFSI S Tronic Comfort+Sound,Petrol,Automatic,150 bhp,50.4 mpg,,32310
154,Audi,A3,4 door Saloon,Sport,35 TDI S Tronic,Diesel,Automatic,150 bhp,61.4 mpg,,33015
155,Audi,A3,4 door Saloon,Sport,35 TDI S Tronic Comfort+Sound,Diesel,Automatic,150 bhp,61.4 mpg,,34210
156,Audi,A3,4 door Saloon,S line,30 TFSI,Petrol,Manual,110 bhp,50.4 mpg,108 g/km,29900
157,Audi,A3,4 door Saloon,S line,30 TFSI S Tronic,Petrol,Automatic,110 bhp,53.3 mpg,,31450
158,Audi,A3,4 door Saloon,S line,30 TFSI Comfort+Sound,Petrol,Manual,110 bhp,49.6 mpg,,31095
159,Audi,A3,4 door Saloon,S line,30 TFSI S Tronic Comfort+Sound,Petrol,Automatic,110 bhp,53.3 mpg,,32645
160,Audi,A3,4 door Saloon,S line,35 TFSI,Petrol,Manual,150 bhp,48.7 mpg,,31505
161,Audi,A3,4 door Saloon,S line,35 TFSI S Tronic,Petrol,Automatic,150 bhp,48.7 mpg,,33055
162,Audi,A3,4 door Saloon,S line,35 TFSI Comfort+Sound,Petrol,Manual,150 bhp,48.7 mpg,,32700
163,Audi,A3,4 door Saloon,S line,35 TFSI S Tronic Comfort+Sound,Petrol,Automatic,150 bhp,48.7 mpg,,34250
164,Audi,A3,4 door Saloon,S line,35 TDI S Tronic,Diesel,Automatic,150 bhp,60.1 mpg,,34915
165,Audi,A3,4 door Saloon,S line,35 TDI S Tronic Comfort+Sound,Diesel,Automatic,150 bhp,60.1 mpg,,36110
166,Audi,A3,4 door Saloon,Edition 1,35 TFSI,Petrol,Manual,150 bhp,47.9 mpg,116 g/km,34755
167,Audi,A3,4 door Saloon,Edition 1,35 TFSI Comfort+Sound,Petrol,Manual,150 bhp,47.1 mpg,116 g/km,35750
168,Audi,A3,4 door Saloon,Edition 1,35 TFSI S Tronic,Petrol,Automatic,150 bhp,47.9 mpg,,36155
169,Audi,A3,4 door Saloon,Edition 1,35 TFSI S Tronic Comfort+Sound,Petrol,Automatic,150 bhp,47.9 mpg,,37150
170,Audi,A3,4 door Saloon,Edition 1,35 TDI S Tronic,Diesel,Automatic,150 bhp,58.9 mpg,103 g/km,38165
171,Audi,A3,4 door Saloon,Edition 1,35 TDI S Tronic Comfort+Sound,Diesel,Automatic,150 bhp,58.9 mpg,103 g/km,39160
172,Audi,A3,4 door Saloon,S3,S3 TFSI Quattro S Tronic,Petrol,Automatic,310 bhp,36.2 mpg,,41220
173,Audi,A3,4 door Saloon,S3,S3 TFSI Quattro S Tronic Comfort+Sound,Petrol,Automatic,310 bhp,35.8 mpg,,42215
174,Audi,A3,4 door Saloon,S3 Vorsprung,S3 TFSI Quattro Vorsprung S Tronic,Petrol,Automatic,310 bhp,35.3 mpg,,48970
175,Audi,Q3,5 door 4x4,Technik,35 TFSI,Petrol,Manual,150 bhp,44.8 mpg,,32215
176,Audi,Q3,5 door 4x4,Technik,35 TFSI Comfort+Sound Pack,Petrol,Manual,150 bhp,44.8 mpg,,33410
177,Audi,Q3,5 door 4x4,Technik,35 TFSI S Tronic,Petrol,Automatic,150 bhp,43.5 mpg,,33795
178,Audi,Q3,5 door 4x4,Technik,35 TFSI S Tronic Comfort+Sound Pack,Petrol,Automatic,150 bhp,43.5 mpg,,34990
179,Audi,Q3,5 door 4x4,Technik,45 TFSI e S Tronic,Petrol/PlugIn Elec Hybrid,Automatic,245 bhp,N/A,,39985
180,Audi,Q3,5 door 4x4,Technik,45 TFSI e S Tronic Comfort+Sound Pk,Petrol/PlugIn Elec Hybrid,Automatic,245 bhp,N/A,,41180
181,Audi,Q3,5 door 4x4,Technik,35 TDI S Tronic,Diesel,Automatic,150 bhp,56.5 mpg,,35395
182,Audi,Q3,5 door 4x4,Technik,35 TDI S Tronic Comfort+Sound Pack,Diesel,Automatic,150 bhp,56.5 mpg,,36590
183,Audi,Q3,5 door 4x4,Black Edition,35 TDI S Tronic C+S,Diesel,Automatic,150 bhp,52.3 mpg,,41390
184,Audi,Q3,5 door 4x4,Black Edition,40 TDI 200 Quattro S TronicC+S,Diesel,Automatic,200 bhp,42.8 mpg,,44075
185,Audi,Q3,5 door 4x4,Black Edition,35 TDI S Tronic C+S Pack,Diesel,Automatic,150 bhp,53.3 mpg,,42540
186,Audi,Q3,5 door 4x4,Black Edition,40 TDI 200 Quattro Black Edn S Tronic C+S,Diesel,Automatic,200 bhp,42.8 mpg,,45225
187,Audi,Q3,5 door Estate,Sport,35 TFSI,Petrol,Manual,150 bhp,44.8 mpg,132 g/km,33865
188,Audi,Q3,5 door Estate,Sport,35 TFSI Comfort+Sound Pack,Petrol,Manual,150 bhp,44.8 mpg,132 g/km,35060
189,Audi,Q3,5 door Estate,Sport,35 TFSI S Tronic,Petrol,Automatic,150 bhp,43.5 mpg,134 g/km,35445
190,Audi,Q3,5 door Estate,Sport,35 TFSI S Tronic Comfort+Sound Pack,Petrol,Automatic,150 bhp,43.5 mpg,134 g/km,36640
191,Audi,Q3,5 door Estate,S Line,35 TFSI,Petrol,Manual,150 bhp,42.2 mpg,134 g/km,36000
192,Audi,Q3,5 door Estate,S Line,35 TFSI Comfort+Sound Pack,Petrol,Manual,150 bhp,42.2 mpg,134 g/km,37195
193,Audi,Q3,5 door Estate,S Line,35 TFSI S Tronic,Petrol,Automatic,150 bhp,40.4 mpg,138 g/km,37580
194,Audi,Q3,5 door Estate,S Line,35 TFSI S Tronic Comfort+Sound Pack,Petrol,Automatic,150 bhp,40.4 mpg,138 g/km,38775
195,Audi,Q3,5 door Estate,S Line,40 TFSI Quattro S Tronic,Petrol,Automatic,190 bhp,34.9 mpg,169 g/km,40430
196,Audi,Q3,5 door Estate,S Line,40 TFSI Quattro S Tronic C+S Pack,Petrol,Automatic,190 bhp,34.9 mpg,169 g/km,41625
197,Audi,Q3,5 door Estate,S Line,45 TFSI 245 Quattro S Tronic,Petrol,Automatic,245 bhp,32.8 mpg,,42780
198,Audi,Q3,5 door Estate,S Line,45 TFSI 245 Quattro S Tronic C+S Pack,Petrol,Automatic,245 bhp,32.8 mpg,,43975
